"Termino","Area","Descripcion_Termino"
"""UF""","""Contabilidad""","""Unidad de Fomento que reajusta con el IPC acumulado del mes. Fuentes Banco Central"""
"""Nivel HAY""","""RRHH""","""Sistema para la medición de un cargo en base a puntajes en tres dimensiones relacionadas con la obtención de resultados de un puesto: actuar, responsabilidad y saber."""
"""DevOps""","""Sistemas TI""","""DevOps es un término usado para una metodología que  facilita el desarrollo y el despliegue a producción de forma rápida y continua. Viene de la contracción Developer y Operations. L aidea es que las áreas de desarrollo y operaciones trabajan cómo un equipo para facilitar pruebas y finalmente dejar las aplicaciones en producción. Normalmente incluye desarrollo, pruebas automáticas, y paso a prucción."""
"""Tasa Nominal""","""Finanzas""","""Tasa de interés de un crédito en pesos"""
""" 5 por qué""","""Lean""","""Método para investigar la causa raíz de un problema a través de preguntas. Es ir repitiendo la pregunta ""¿por qué?"" sobre los detalles de cada respuesta predecesora. Así se logra alcanzar la causa raíz."""
"""SIPOC""","""Lean""","""Es un acrónimo que corresponde a las cinco partes principales de un proceso:
S (supplier): proveedor.
I (input): entrada.
P (process): proceso.
O (output): salida.
C (customer): cliente.

Los SIPOC son diagramas que se construyen de manera colaborativa (en equipo). Se hacen 5 columnas correspondientes a las 5 partes descritas y bajo ellas se listan los proveedores, las entradas, procesos, salidas y clientes para el proceso o grupo de procesos a representar."""
"""Panel de Control""","""Lean""","""Los paneles de control contienen información relevante para conocer el estado de trabajo del equipo (con cifras, indicadores y gráficos sobre la operación diaria), así como con información de las actividades y/o proyectos en los cuales el área está participando."""
"""Sistema 5S""","""Lean""","""El sistema 5S debe su nombre a una sigla que hace referencia a cinco palabras en japonés:
1.	Seiri (separar).
2.	Seiton (organizar).
3.	Seiso (limpiar).
4.	Seiketsu (estandarizar).
5.	Shitsuke (sustentar).
Cada una corresponde a una parte fundamental de 5S y, por definición, un sistema como este no funciona si estas partes no se trabajan en conjunto. Este sistema, persigue el orden y limpieza de los espacios para hacerlos más funcionales, saludables y seguros. Las premisas de este sistema fueron cinco:
1.	Tiene que ser fácil de entender.
2.	En un contexto empresarial, debe aplicar para toda la empresa.
3.	Tiene que mejorar las condiciones de trabajo para las personas.
4.	Debe tener poca o inversión cero.
5.	Debe ser autosustentable."""
"""Value Stream Mapping (VSM) / Mapeo del flujo de valor""","""Lean""","""Corresponde a un método para analizar problemas en un proceso. Primero se construye un diagrama del proceso a analizar de forma colaborativa (en equipo), para luego examinar cada una de sus actividades. Durante esta actividad, la intención es reconocer las tareas que forman parte del proceso, sus desperdicios, identificar qué actividades tienen valor agregado y cuales no, tiempo promedio para realizar cada actividad, etc."""
"""Takt Time""","""Lean""","""Es el ritmo en el que las unidades deben ser producidas para cumplir con la demanda del cliente. Debe ser considerando el tiempo y estándares que el cliente solicita.
El ajuste del Takt Time con el Lead Time busca que un proceso trabaje ""justo a tiempo""."""
"""AFR""","""Finanzas""","""significa aporte financiero reembolsable, nosotros manejamos Pagarés de agua (Aguas Andinas, Esval, entre otras). Representan un crédito que entrega el urbanizador a la empresa sanitaria, con el fin de financiar los costos adicionales que genera una mayor demanda, producto del proyecto inmobiliario y de la mayor infraestructura que se requiere para atenderla. Los aportes se otorgan por un plazo máximo de 15 años."""
"""Amortización a Deuda""","""Finanzas""","""es cuando damos la instrucción al ejecutivo de cuenta corriente de un banco en particular a cargar nuestra cuenta para abonar dineros a un crédito que indiquemos para así disminuir el saldo capital del mismo. """
"""BCU/BCP""","""Finanzas""","""El Banco Central de Chile emite instrumentos de deuda, tales como bonos y pagarés con diferentes denominaciones, con plazos que van desde los 30 días a 20 años, y que pueden ser emitidos en pesos o en unidades de fomento: BCU (Banco Central Bonos Bullet en UF) o BCP (Banco Central Bonos Bullet en Pesos)."""
"""Boleta de garantía pagadera a 30 días""","""Finanzas""","""Boleta de garantía que es pagada transcurridos 30 días desde el cobro de esta en el banco donde fue emitida (es la más utilizada en Socovesa)."""
"""Boleta de garantía pagadera a la vista""","""Finanzas""","""Boleta de garantía que es pagada al momento de ser presentada físicamente en el banco donde fue emitida."""
"""Boleta de Garantía""","""Finanzas""","""operación financiera en la cual el banco emite un documento que resguarda obligaciones que la empresa emisora contrae con un tercero (beneficiario de la boleta)."""
